EmployeeID,Name,Department,Age,Gender,Experience_Years,Monthly_Salary,Attendance_Percent,Performance_Score,Overtime_Hours,Projects_Completed,Training_Hours,Performance_Index,Promotion_Status
EMP0123,Salman Ahmed,Operations,26,Male,0,72900.0,78.9,44.0,4.1,3,20.8,38.68,Requires Training
EMP0004,Anum Butt,It,34,Male,7,113700.0,93.9,58.2,0.6,3,4.2,48.78,Needs Improvement
EMP0026,Bilal Butt,Sales,21,Male,0,84100.0,91.2,51.2,1.1,3,14.0,44.74,Needs Improvement
EMP0138,Iqra Javed,It,29,Male,4,96850.0,89.8,51.9,20.1,1,19.6,44.21,Needs Improvement
EMP0016,Mariam Gill,Sales,34,Male,11,102600.0,89.4,48.0,7.1,3,26.6,42.78,Requires Training
EMP0052,Ahmed Khan,It,35,Male,14,141900.0,93.0,53.9,0.6,7,9.8,47.650000000000006,Needs Improvement
EMP0090,Laiba Ahmed,Finance,38,Male,16,96850.0,85.3,76.4,2.2,10,10.7,58.260000000000005,Needs Improvement
EMP0007,Mariam Sheikh,Finance,31,Female,10,112200.0,82.8,58.3,8.8,9,53.7,48.41,Needs Improvement
EMP0042,Sobia Khan,Finance,31,Male,10,112000.0,87.9,63.3,1.8,6,19.7,51.03,Needs Improvement
EMP0142,Amna Farooq,Operations,21,Female,0,96850.0,75.8,46.4,9.5,3,11.6,39.26,Requires Training
EMP0041,Hira Siddiqui,Sales,36,Male,15,101700.0,93.5,72.6,78.0,3,28.9,55.89999999999999,Needs Improvement
EMP0059,Adeel Khan,Sales,32,Female,11,100400.0,89.8,51.5,81.43000000000006,7,6.6,45.81,Needs Improvement
EMP0077,Ahmed Sheikh,Hr,42,Male,13,91600.0,89.8,69.1,81.43000000000006,8,30.1,54.91,Needs Improvement
EMP0074,Anum Farooq,It,21,Male,0,91000.0,93.3,55.7,4.4,4,32.9,47.71,Needs Improvement
EMP0039,Warda Chaudhry,It,32,Male,9,114800.0,93.0,53.9,18.5,5,6.3,47.05,Needs Improvement
EMP0043,Sara Baig,Sales,35,Male,5,96600.0,79.2,53.9,1.2,2,12.5,43.39,Needs Improvement
EMP0032,Rizwan Qureshi,Hr,25,Male,1,65300.0,92.9,52.6,0.6,3,14.9,45.78,Needs Improvement
EMP0102,Nida Iqbal,It,31,Female,6,103300.0,77.6,60.0,8.9,1,17.3,45.82,Needs Improvement
EMP0147,Kamran Sheikh,Hr,33,Male,10,80100.0,89.1,50.1,15.4,4,16.8,44.07,Needs Improvement
EMP0113,Junaid Mirza,Hr,33,Female,8,79900.0,87.5,50.0,0.8,8,23.3,44.9,Needs Improvement
EMP0054,Hira Malik,Sales,36,Female,13,115000.0,95.0,59.4,3.0,6,33.0,50.5,Needs Improvement
EMP0066,Ahmed Rana,Marketing,31,Male,7,80300.0,93.7,55.4,10.6,8,9.9,48.84,Needs Improvement
EMP0058,Sara Rana,Marketing,29,Male,3,65000.0,73.8,52.6,3.7,4,46.4,42.26,Needs Improvement
EMP0109,Warda Yousaf,Operations,29,Male,8,85900.0,77.3,56.1,5.6,2,0.0,44.11,Needs Improvement
EMP0048,Imran Iqbal,Sales,22,Male,0,62800.0,70.6,34.6,6.3,8,13.8,33.82,Requires Training
EMP0006,Zeeshan Malik,It,38,Male,12,113100.0,90.7,68.2,2.4,6,15.9,54.04,Needs Improvement
EMP0104,Sadia Mirza,Operations,21,Male,0,96850.0,88.4,34.6,16.6,4,19.2,36.18000000000001,Requires Training
EMP0144,Tariq Baig,Finance,22,Female,0,82000.0,69.6,41.4,0.8,1,27.8,34.92,Requires Training
EMP0071,Iqra Raza,Finance,31,Male,10,117100.0,90.1,68.8,3.3,5,23.7,53.92,Needs Improvement
EMP0005,Rabia Mirza,Finance,34,Male,5,99400.0,84.9,44.2,0.0,5,25.8,40.58,Requires Training
EMP0088,Kamran Butt,Sales,33,Female,12,105900.0,82.4,56.6,0.5,5,39.1,46.28,Needs Improvement
EMP0013,Sobia Sheikh,Marketing,25,Female,2,67000.0,95.4,59.5,0.1,5,4.5,50.33,Needs Improvement
EMP0015,Noor Abbasi,Hr,29,Male,5,61900.0,97.5,58.8,13.6,2,22.5,49.5,Needs Improvement
EMP0025,Bilal Malik,It,30,Male,9,117400.0,80.5,45.1,3.4,5,36.3,40.150000000000006,Requires Training
EMP0083,Sadia Chaudhry,Sales,31,Female,7,88300.0,89.8,44.9,0.0,3,17.6,41.31,Requires Training
EMP0133,Mariam Baig,Sales,46,Female,23,125300.0,89.5,62.6,2.6,7,26.8,51.3,Needs Improvement
EMP0009,Kamran Butt,Operations,36,Female,14,86200.0,95.1,59.5,1.5,5,29.6,50.269999999999996,Needs Improvement
EMP0028,Imran Hussain,It,27,Female,0,90100.0,100.0,49.3,2.6,3,19.2,45.55,Requires Training
EMP0069,Laiba Siddiqui,Hr,38,Male,17,92300.0,84.2,53.9,0.9,11,23.0,47.09,Needs Improvement
EMP0044,Laiba Malik,Hr,43,Female,15,98500.0,84.0,65.7,2.6,7,15.1,51.75,Needs Improvement
EMP0073,Iqra Sheikh,Hr,23,Male,0,59400.0,89.9,35.7,2.5,7,9.5,37.93000000000001,Requires Training
EMP0137,Salman Malik,Marketing,29,Male,7,95300.0,93.5,54.7,1.2,8,18.5,48.45,Needs Improvement
EMP0131,Omar Gill,It,37,Male,10,122700.0,97.6,59.4,18.8,8,24.7,51.620000000000005,Needs Improvement
