EmployeeID,Name,Department,Age,Gender,Experience_Years,Monthly_Salary,Attendance_Percent,Performance_Score,Overtime_Hours,Projects_Completed,Training_Hours,Employee_Signature_Blank
EMP0123,Salman Ahmed,Operations,26,Male,0,72900.0,78.9,44.0,4.1,3,20.8,
EMP0004,Anum Butt,IT,34,Male,7,113700.0,93.9,58.2,0.6,3,4.2,
EMP0026,Bilal Butt,Sales,21,Male,0,84100.0,91.2,51.2,1.1,3,14.0,
EMP0138,Iqra Javed,IT,29,Male,4,,,51.9,20.1,1,19.6,
EMP0016,Mariam Gill,Sales,34,Male,11,102600.0,89.4,48.0,7.1,3,26.6,
EMP0052,Ahmed Khan,IT,35,Male,14,141900.0,93.0,,0.6,7,9.8,
EMP0090,Laiba Ahmed,Finance,38,Male,16,,85.3,76.4,2.2,10,10.7,
EMP0007,Mariam Sheikh,Finance,31,Female,10,112200.0,82.8,58.3,8.8,9,53.7,
EMP0042,Sobia Khan,Finance,31,Male,10,112000.0,87.9,63.3,1.8,6,19.7,
EMP0142,Amna Farooq,Operations,21,Female,0,,75.8,46.4,9.5,3,11.6,
EMP0041,Hira Siddiqui,Sales,36,Male,15,101700.0,93.5,72.6,78.0,3,28.9,
EMP0059,Adeel Khan,Sales,32,Female,11,100400.0,89.8,51.5,85.0,7,6.6,
EMP0077,Ahmed Sheikh,HR,42,Male,13,91600.0,,69.1,92.0,8,30.1,
EMP0074,Anum Farooq,IT,21,Male,0,91000.0,93.3,55.7,4.4,4,32.9,
EMP0039,Warda Chaudhry,IT,32,Male,9,114800.0,93.0,,18.5,5,6.3,
EMP0043,Sara Baig,Sales,35,Male,5,96600.0,79.2,,1.2,2,12.5,
EMP0032,Rizwan Qureshi,HR,25,Male,1,65300.0,92.9,52.6,0.6,3,14.9,
EMP0102,Nida Iqbal,IT,31,Female,6,103300.0,77.6,60.0,8.9,1,17.3,
EMP0147,Kamran Sheikh,HR,33,Male,10,80100.0,89.1,50.1,15.4,4,16.8,
EMP0113,Junaid Mirza,HR,33,Female,8,79900.0,87.5,50.0,0.8,8,23.3,
EMP0054,Hira Malik,Sales,36,Female,13,115000.0,95.0,59.4,3.0,6,33.0,
EMP0066,Ahmed Rana,Marketing,31,Male,7,80300.0,93.7,55.4,10.6,8,9.9,
EMP0058,Sara Rana,Marketing,29,Male,3,65000.0,73.8,52.6,3.7,4,46.4,
EMP0109,Warda Yousaf,Operations,29,Male,8,85900.0,77.3,56.1,5.6,2,0.0,
EMP0048,Imran Iqbal,Sales,22,Male,0,62800.0,70.6,34.6,6.3,8,13.8,
EMP0006,Zeeshan Malik,it ,38,Male,12,113100.0,90.7,68.2,2.4,6,15.9,
EMP0104,Sadia Mirza,Operations,21,Male,0,,88.4,34.6,16.6,4,19.2,
EMP0144,Tariq Baig,Finance,22,Female,0,82000.0,69.6,41.4,0.8,1,27.8,
EMP0071,Iqra Raza,Finance,31,Male,10,117100.0,90.1,68.8,3.3,5,23.7,
EMP0005,Rabia Mirza,Finance,34,Male,5,99400.0,84.9,44.2,0.0,5,25.8,
EMP0088,Kamran Butt,Sales,33,Female,12,105900.0,82.4,56.6,0.5,5,39.1,
